Time;Px;Py;Pz;Vx;Vy;Vz;V;Ax;Ay;Az;A
0,002758146;-0,890923;2,561529;-1,62619;0,9997242;18,66628;499,5125;499,862099202093;-0,09997243;-11,67663;-49,95124;51,2979575724843
0,002791913;-0,8895878;2,562159;-1,609373;0,9997209;18,66588;499,5108;499,86040715905;-0,09997208;-11,67659;-49,95108;51,2977850142655
0,002826678;-0,8882131;2,562808;-1,592059;0,9997174;18,66548;499,509;499,858653696065;-0,09997174;-11,67655;-49,9509;51,2976087414958
0,002859987;-0,886896;2,56343;-1,575471;0,999714;18,66509;499,5074;499,856961867136;-0,09997141;-11,67651;-49,95074;51,2974364003703
0,002893314;-0,8855782;2,564052;-1,558873;0,9997107;18,6647;499,5057;499,855300534773;-0,09997107;-11,67647;-49,95057;51,2972640592448
0,002930861;-0,8840936;2,564753;-1,540174;0,999707;18,66426;499,5038;499,853393380083;-0,0999707;-11,67643;-49,95038;51,297072059898
0,002963273;-0,882812;2,565358;-1,524033;0,9997037;18,66388;499,5022;499,85176297172;-0,09997037;-11,67639;-49,95022;51,2969073649677
0,002996474;-0,8814992;2,565977;-1,507498;0,9997004;18,66349;499,5005;499,850101711237;-0,09997004;-11,67635;-49,95005;51,2967352409356
0,003028773;-0,8802221;2,56658;-1,491413;0,9996971;18,66312;499,4989;499,848471303281;-0,09996971;-11,67631;-49,94989;51,2965705460052
0,003062143;-0,8789026;2,567203;-1,474794;0,9996938;18,66273;499,4973;499,846779475644;-0,09996939;-11,67627;-49,94973;51,2963982048943
0,003094493;-0,8776234;2,567806;-1,458684;0,9996906;18,66235;499,4957;499,845179564454;-0,09996906;-11,67624;-49,94957;51,2962337270428
0,003129737;-0,8762299;2,568464;-1,441132;0,9996871;18,66194;499,4939;499,843395393617;-0,09996871;-11,67619;-49,94939;51,2960535226288
0,003162851;-0,8749205;2,569082;-1,424641;0,9996837;18,66155;499,4922;499,841734134077;-0,09996838;-11,67616;-49,94923;51,2958848960687
0,003195407;-0,8736333;2,56969;-1,408428;0,9996805;18,66117;499,4906;499,840073159825;-0,09996805;-11,67612;-49,94906;51,2957164865875
0,003228489;-0,8723252;2,570307;-1,391954;0,9996772;18,66078;499,489;499,838411900704;-0,09996772;-11,67608;-49,9489;51,2955480770918
0,003261217;-0,8710312;2,570918;-1,375655;0,9996739;18,6604;499,4873;499,836781351777;-0,0999674;-11,67604;-49,94873;51,2953796676251
0,003294452;-0,8697171;2,571538;-1,359104;0,9996706;18,66002;499,4857;499,835089596953;-0,09996706;-11,676;-49,94857;51,2952073264996
0,003332186;-0,8682251;2,572242;-1,340313;0,9996668;18,65957;499,4838;499,833182373831;-0,09996668;-11,67596;-49,94838;51,2950153271383
0,003366346;-0,8668744;2,57288;-1,323301;0,9996634;18,65917;499,4821;499,831490120796;-0,09996635;-11,67592;-49,94821;51,294839054383
0,003399529;-0,8655624;2,573499;-1,306776;0,9996601;18,65879;499,4804;499,82979836664;-0,09996601;-11,67588;-49,94804;51,2946704278085
0,003431586;-0,8642949;2,574097;-1,290812;0,9996569;18,65841;499,4788;499,828198599958;-0,09996569;-11,67584;-49,94788;51,2945059499715
0,003466395;-0,8629186;2,574746;-1,273478;0,9996534;18,65801;499,4771;499,826445141252;-0,09996534;-11,6758;-49,94771;51,2943257455575
0,0035008;-0,8615582;2,575388;-1,256345;0,99965;18,6576;499,4754;499,824722321661;-0,099965;-11,67576;-49,94754;51,2941494727878
0,003534996;-0,8602061;2,576026;-1,239315;0,9996465;18,65721;499,4737;499,822999644573;-0,09996466;-11,67572;-49,94736;51,293973200018
0,003567696;-0,8589132;2,576636;-1,223031;0,9996433;18,65682;499,472;499,821338601326;-0,09996433;-11,67568;-49,9472;51,2938047905368
0,003601279;-0,8575854;2,577263;-1,206308;0,9996399;18,65643;499,4703;499,819646634747;-0,09996399;-11,67564;-49,94703;51,2936324494113
0,003632758;-0,8563408;2,57785;-1,190632;0,9996368;18,65606;499,4688;499,818077650452;-0,09996368;-11,67561;-49,94688;51,2934719032186
0,003666643;-0,855001;2,578482;-1,173758;0,9996334;18,65567;499,4671;499,816355045659;-0,09996334;-11,67557;-49,94671;51,2932993450143
0,003698274;-0,8537503;2,579072;-1,158006;0,9996302;18,6553;499,4655;499,814755494196;-0,09996302;-11,67553;-49,94655;51,2931348671773
0,003735337;-0,852285;2,579764;-1,139549;0,9996265;18,65487;499,4637;499,812909551504;-0,09996265;-11,67549;-49,94637;51,2929467994603
0,003770387;-0,8508992;2,580418;-1,122095;0,9996231;18,65446;499,4619;499,811125456318;-0,0999623;-11,67545;-49,94619;51,2927665950463
0,003802368;-0,8496347;2,581014;-1,10617;0,9996198;18,65408;499,4603;499,809525691922;-0,09996199;-11,67541;-49,94603;51,2926021172238
0,003838883;-0,848191;2,581696;-1,087986;0,9996162;18,65366;499,4585;499,807680034837;-0,09996162;-11,67537;-49,94585;51,2924140495213
0,003949889;-0,8438021;2,583766;-1,032709;0,9996051;18,65236;499,4529;499,802111785378;-0,09996051;-11,67524;-49,94529;51,291845914755
0,003989654;-0,84223;2,584508;-1,012908;0,9996011;18,6519;499,4509;499,800081727578;-0,09996011;-11,67519;-49,9451;51,2916423375397
0,004022832;-0,8409182;2,585127;-0,9963861;0,9995978;18,65151;499,4493;499,798420473526;-0,09995978;-11,67515;-49,94493;51,2914699964287
0,00405699;-0,8395677;2,585764;-0,9793773;0,9995944;18,65111;499,4476;499,796697799982;-0,09995944;-11,67511;-49,94476;51,2912974382099
0,004090531;-0,8382416;2,586389;-0,9626751;0,9995911;18,65072;499,4459;499,79500583657;-0,09995911;-11,67507;-49,94459;51,2911250970844
0,004125886;-0,8368438;2,587049;-0,94507;0,9995875;18,65031;499,4441;499,793221672366;-0,09995875;-11,67503;-49,94442;51,2909448926559
0,004161366;-0,8354411;2,58771;-0,9274025;0,999584;18,64989;499,4424;499,791437437347;-0,0999584;-11,67499;-49,94424;51,290760973691
0,004193706;-0,8341625;2,588314;-0,9112988;0,9995807;18,64952;499,4407;499,789807036754;-0,09995807;-11,67495;-49,94408;51,2905962787606
0,004228651;-0,8327808;2,588965;-0,8938978;0,9995772;18,64911;499,439;499,788053511974;-0,09995773;-11,67491;-49,9439;51,2904160743612
0,004260571;-0,8315189;2,589561;-0,8780031;0,999574;18,64874;499,4374;499,786453821574;-0,09995741;-11,67487;-49,94374;51,2902515965242
0,004293751;-0,830207;2,590179;-0,8614812;0,9995707;18,64835;499,4358;499,78479256937;-0,09995707;-11,67483;-49,94358;51,2900829699496
0,004331292;-0,8287229;2,590879;-0,8427882;0,999567;18,64791;499,4339;499,78288542478;-0,0999567;-11,67479;-49,94339;51,2898911876817
0,004363822;-0,8274368;2,591486;-0,8265898;0,9995637;18,64753;499,4323;499,781254953959;-0,09995637;-11,67475;-49,94323;51,2897227782004
0,004399217;-0,8260375;2,592146;-0,8089652;0,9995602;18,64712;499,4305;499,779470720562;-0,09995602;-11,67471;-49,94305;51,2895423567076
0,00443134;-0,8247675;2,592745;-0,7929699;0,999557;18,64674;499,4289;499,77787088888;-0,0999557;-11,67467;-49,94289;51,2893778788706
0,004463471;-0,8234972;2,593344;-0,7769704;0,9995537;18,64637;499,4273;499,776240632291;-0,09995538;-11,67464;-49,94273;51,2892134010337
